Season,Episode,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
season-01,e1-Winter is Coming,0.0880281690140845,0.0598591549295774,0.1426056338028169,0.0492957746478873,0.1866197183098591,0.1593309859154929,0.0845070422535211,0.0669014084507042,0.0721830985915493,0.090669014084507
season-01,e10-Fire and Blood,0.0932594644506001,0.0600184672206832,0.1209602954755309,0.0535549399815327,0.185595567867036,0.1643582640812557,0.0849492151431209,0.064635272391505,0.0729455216989843,0.0997229916897507
season-01,e2-The Kings Road,0.0990615224191866,0.0667361835245047,0.1334723670490094,0.0479666319082377,0.1929092805005213,0.1720542231491136,0.0698644421272158,0.0583941605839416,0.0782064650677789,0.08133472367049
season-01,e3-Lord Snow,0.0956761729530818,0.0689972401103955,0.1315547378104875,0.0469181232750689,0.1665133394664213,0.1793928242870285,0.078196872125115,0.0671573137074517,0.078196872125115,0.0873965041398344
season-01,e4-Cripples Bastards and Broken Things,0.1005586592178771,0.057462090981644,0.1380686352753392,0.0454908220271348,0.189146049481245,0.160415003990423,0.077414205905826,0.0590582601755786,0.0782122905027933,0.0941739824421388
season-01,e5-The Wolf and The Lion,0.1029411764705882,0.0698529411764705,0.150735294117647,0.0419117647058823,0.1720588235294117,0.175,0.0742647058823529,0.0602941176470588,0.0705882352941176,0.0823529411764705
season-01,e6-A Golden Crown,0.0980187695516162,0.072992700729927,0.145985401459854,0.0354535974973931,0.2304483837330552,0.1449426485922836,0.0656934306569343,0.0573514077163712,0.0698644421272158,0.0792492179353493
season-01,e7-You Win or You Die,0.0895390070921985,0.0638297872340425,0.1737588652482269,0.0496453900709219,0.1861702127659574,0.150709219858156,0.0638297872340425,0.0629432624113475,0.0664893617021276,0.0930851063829787
season-01,e8-The Pointy End,0.0990237099023709,0.0704323570432357,0.1457461645746164,0.0453277545327754,0.1743375174337517,0.1715481171548117,0.0753138075313807,0.0697350069735007,0.0669456066945606,0.0815899581589958
season-01,e9-Baelor,0.0971540726202159,0.0696761530912659,0.1305201177625122,0.0520117762512266,0.1717369970559372,0.1844946025515211,0.0824337585868498,0.0471050049067713,0.0804710500490677,0.0843964671246319
season-02,e1-The North Remembers,0.0829090909090909,0.0574545454545454,0.144,0.0421818181818181,0.208,0.1658181818181818,0.0763636363636363,0.0661818181818181,0.077090909090909,0.08
season-02,e10-Valar Morghulis,0.1072298943948009,0.0731112916328188,0.1169780666125101,0.0519902518277822,0.173842404549147,0.1705930138099106,0.0844841592201462,0.0544272948822095,0.0763606823720552,0.090982940698619
season-02,e2-The Night Lands,0.0862396956246036,0.0558021559923906,0.1496512365250475,0.0475586556753329,0.2054533925174381,0.1490171211160431,0.0678503487634749,0.0551680405833861,0.0938490805326569,0.0894102726696258
season-02,e3-What is Dead May Never Die,0.1112234580384226,0.0839231547017189,0.1112234580384226,0.0394337714863498,0.1557128412537917,0.198179979777553,0.0879676440849342,0.0738119312436804,0.0626895854398382,0.0758341759352881
season-02,e4-Garden of Bones,0.0969316596931659,0.0669456066945606,0.1408647140864714,0.0460251046025104,0.199442119944212,0.1576011157601115,0.0781032078103207,0.0550906555090655,0.0753138075313807,0.0836820083682008
season-02,e5-The Ghost Of Harrenhal,0.0921149594694178,0.0685335298452468,0.1326455416359616,0.0449521002210759,0.1930729550478997,0.1680176860722181,0.0700073691967575,0.0663227708179808,0.0677966101694915,0.0965364775239498
season-02,e6-The Old Gods and the New,0.1068580542264752,0.0741626794258373,0.1259968102073365,0.0398724082934609,0.1682615629984051,0.1889952153110047,0.080542264752791,0.069377990430622,0.0637958532695374,0.0821371610845295
season-02,e7-A Man Without Honor,0.1046348314606741,0.0723314606741573,0.1214887640449438,0.0393258426966292,0.1839887640449438,0.1636235955056179,0.0842696629213483,0.0660112359550561,0.074438202247191,0.0898876404494382
season-02,e8-The Prince of Winterfell,0.1084615384615384,0.07,0.1315384615384615,0.0376923076923076,0.1907692307692307,0.1753846153846154,0.0738461538461538,0.0538461538461538,0.0715384615384615,0.0869230769230769
season-02,e9-Blackwater,0.1210240496508921,0.0923196276183087,0.0977501939487975,0.0488750969743987,0.1768813033359193,0.1807602792862684,0.073700543056633,0.0504266873545384,0.0659425911559348,0.0923196276183087
season-03,e1-Valar Dohaeris,0.0992419021364576,0.0771881461061337,0.1247415575465196,0.0413507925568573,0.19710544452102,0.1585113714679531,0.0771881461061337,0.0599586492074431,0.0771881461061337,0.087525844245348
season-03,e10-Mhysa,0.0906757912745936,0.0504704875962361,0.127459366980325,0.0504704875962361,0.204448246364414,0.1531223267750213,0.0590248075278015,0.058169375534645,0.0889649272882805,0.1171941830624465
